response,actual,correct
right,right,True
right,right,True
right,left,False
right,right,True
right,right,True
right,right,True
right,right,True
right,left,False
right,right,True
right,right,True
right,right,True
right,left,False
right,right,True
right,right,True
right,right,True
left,right,False
right,left,False
right,left,False
left,right,False
left,right,False
right,left,False
right,right,True
right,left,False
right,right,True
right,right,True
right,left,False
right,right,True
right,left,False
left,right,False
