response,actual,correct
down,down,True
right,right,True
down,right,False
down,right,False
right,down,False
left,down,False
right,right,True
right,right,True
right,left,False
right,left,False
right,left,False
left,left,True
down,left,False
right,right,True
right,left,False
right,right,True
right,right,True
right,right,True
left,right,False
left,left,True
right,left,False
right,right,True
right,right,True
down,down,True
right,right,True
down,left,False
down,down,True
left,right,False
down,left,False
down,right,False
right,right,True
left,down,False
