response,actual,correct
down,right,False
right,left,False
left,left,True
left,right,False
right,left,False
right,right,True
left,left,True
right,right,True
down,left,False
left,left,True
down,left,False
right,right,True
down,left,False
right,right,True
left,right,False
down,left,False
down,right,False
left,left,True
left,left,True
right,right,True
down,left,False
right,right,True
left,left,True
down,left,False
down,down,True
right,down,False
right,left,False
down,right,False
down,right,False
right,down,False
right,right,True
down,left,False
left,down,False
down,right,False
right,left,False
right,right,True
left,down,False
left,left,True
down,right,False
left,down,False
right,right,True
down,right,False
left,down,False
left,down,False
right,right,True
down,left,False
left,left,True
right,right,True
right,down,False
down,down,True
left,down,False
right,left,False
down,left,False
left,left,True
right,right,True
down,down,True
right,right,True
left,right,False
down,left,False
right,right,True
left,down,False
down,left,False
right,down,False
right,right,True
down,right,False
down,down,True
left,left,True
right,right,True
down,left,False
down,right,False
down,left,False
down,right,False
right,left,False
left,down,False
right,right,True
down,right,False
left,left,True
down,right,False
left,right,False
down,left,False
right,left,False
right,right,True
right,right,True
left,left,True
left,right,False
down,right,False
left,left,True
left,left,True
down,down,True
left,right,False
left,left,True
right,left,False
down,left,False
left,down,False
right,down,False
right,left,False
right,right,True
right,down,False
left,right,False
left,left,True
